Date,Open,Close,Low,High,Volume,,MACD
1896-05-27,29.39,29.39,29.39,29.39,0,,
1896-05-28,29.11,29.11,29.11,29.11,0,,
1896-05-29,29.43,29.43,29.43,29.43,0,,
1896-06-01,29.4,29.4,29.4,29.4,0,,
1896-06-02,29,29,29,29,0,,
1896-06-03,28.8,28.8,28.8,28.8,0,,
1896-06-04,28.93,28.93,28.93,28.93,0,,
1896-06-05,29.2,29.2,29.2,29.2,0,,
1896-06-08,28.83,28.83,28.83,28.83,0,,
1896-06-09,28.49,28.49,28.49,28.49,0,,
1896-06-10,27.82,27.82,27.82,27.82,0,,
1896-06-11,28.54,28.54,28.54,28.54,0,,
1896-06-12,28.47,28.47,28.47,28.47,0,,
1896-06-15,28.92,28.92,28.92,28.92,0,,
1896-06-16,29.3,29.3,29.3,29.3,0,,
1896-06-17,29.36,29.36,29.36,29.36,0,,
1896-06-18,28.8,28.8,28.8,28.8,0,,
1896-06-19,28.99,28.99,28.99,28.99,0,,
1896-06-22,28.05,28.05,28.05,28.05,0,,
1896-06-23,27.62,27.62,27.62,27.62,0,,
1896-06-24,27.72,27.72,27.72,27.72,0,,
1896-06-25,27.5,27.5,27.5,27.5,0,,
1896-06-26,27.44,27.44,27.44,27.44,0,,
1896-06-29,25.73,25.73,25.73,25.73,0,,
1896-06-30,26.18,26.18,26.18,26.18,0,,
1896-07-01,25.05,25.05,25.05,25.05,0,,
1896-07-02,25.28,25.28,25.28,25.28,0,,
1896-07-03,25.16,25.16,25.16,25.16,0,,
1896-07-06,25.25,25.25,25.25,25.25,0,,
1896-07-07,25.46,25.46,25.46,25.46,0,,
1896-07-08,25.49,25.49,25.49,25.49,0,,
1896-07-09,25.12,25.12,25.12,25.12,0,,
1896-07-10,25.23,25.23,25.23,25.23,0,,
1896-07-13,25.12,25.12,25.12,25.12,0,,0.052112406
1896-07-14,24.21,24.21,24.21,24.21,0,,0.011164674
1896-07-15,23.38,23.38,23.38,23.38,0,,-0.057117503
1896-07-16,23.14,23.14,23.14,23.14,0,,-0.101170311
1896-07-17,23.13,23.13,23.13,23.13,0,,-0.112818649
1896-07-20,22.09,22.09,22.09,22.09,0,,-0.169020925
1896-07-21,22.22,22.22,22.22,22.22,0,,-0.175150631
1896-07-22,23.17,23.17,23.17,23.17,0,,-0.096844803
1896-07-23,23.39,23.39,23.39,23.39,0,,-0.016087503
1896-07-24,22.84,22.84,22.84,22.84,0,,0.012869964
1896-07-27,22.78,22.78,22.78,22.78,0,,0.039083625
1896-07-28,22.32,22.32,22.32,22.32,0,,0.036587213
1896-07-29,22.43,22.43,22.43,22.43,0,,0.052519427
1896-07-30,22.8,22.8,22.8,22.8,0,,0.095640045
1896-07-31,23.19,23.19,23.19,23.19,0,,0.154599744
1896-08-03,22.81,22.81,22.81,22.81,0,,0.170904341
1896-08-04,22.44,22.44,22.44,22.44,0,,0.159867485
1896-08-05,22.4,22.4,22.4,22.4,0,,0.152967564
1896-08-06,21.72,21.72,21.72,21.72,0,,0.107830351
1896-08-07,20.76,20.76,20.76,20.76,0,,0.022978197
1896-08-10,20.97,20.97,20.97,20.97,0,,-0.007704126
1896-08-11,21.94,21.94,21.94,21.94,0,,0.045693552
1896-08-12,21.27,21.27,21.27,21.27,0,,0.044226638
1896-08-13,22,22,22,22,0,,0.097692487
1896-08-14,22.26,22.26,22.26,22.26,0,,0.152569396
1896-08-17,22.5,22.5,22.5,22.5,0,,0.203829903
1896-08-18,22.44,22.44,22.44,22.44,0,,0.230526689
1896-08-19,22.68,22.68,22.68,22.68,0,,0.259047804
1896-08-20,22.25,22.25,22.25,22.25,0,,0.243868991
1896-08-21,22.13,22.13,22.13,22.13,0,,0.221323258
1896-08-24,22.21,22.21,22.21,22.21,0,,0.207601059
1896-08-25,22.17,22.17,22.17,22.17,0,,0.191997336
1896-08-26,21.94,21.94,21.94,21.94,0,,0.163469326
1896-08-27,21.95,21.95,21.95,21.95,0,,0.143279768
1896-08-28,22.36,22.36,22.36,22.36,0,,0.154575464
1896-08-31,23.15,23.15,23.15,23.15,0,,0.208911769
1896-09-01,23.19,23.19,23.19,23.19,0,,0.239037297
1896-09-02,24.26,24.26,24.26,24.26,0,,0.317596128
1896-09-03,24.48,24.48,24.48,24.48,0,,0.367424951
1896-09-04,25.13,25.13,25.13,25.13,0,,0.423238412
1896-09-08,25.71,25.71,25.71,25.71,0,,0.474445211
1896-09-09,25.63,25.63,25.63,25.63,0,,0.476879285
1896-09-10,25.04,25.04,25.04,25.04,0,,0.414982049
1896-09-11,25.57,25.57,25.57,25.57,0,,0.386537904
1896-09-14,25.25,25.25,25.25,25.25,0,,0.325426586
1896-09-15,24.72,24.72,24.72,24.72,0,,0.23290025
1896-09-16,24.13,24.13,24.13,24.13,0,,0.121174086
1896-09-17,24.86,24.86,24.86,24.86,0,,0.087233848
1896-09-18,25.21,25.21,25.21,25.21,0,,0.07937799
1896-09-21,25.73,25.73,25.73,25.73,0,,0.098951216
1896-09-22,25.78,25.78,25.78,25.78,0,,0.104470569
1896-09-23,25.91,25.91,25.91,25.91,0,,0.105759196
1896-09-24,26.24,26.24,26.24,26.24,0,,0.11685102
1896-09-25,26.51,26.51,26.51,26.51,0,,0.12941046
1896-09-28,26.33,26.33,26.33,26.33,0,,0.113218484
1896-09-29,26.31,26.31,26.31,26.31,0,,0.089807267
1896-09-30,26.11,26.11,26.11,26.11,0,,0.051406556
1896-10-01,26.08,26.08,26.08,26.08,0,,0.016355586
1896-10-02,25.99,25.99,25.99,25.99,0,,-0.01862474
1896-10-05,26.02,26.02,26.02,26.02,0,,-0.04402649
1896-10-06,26.01,26.01,26.01,26.01,0,,-0.064545336
1896-10-07,25.57,25.57,25.57,25.57,0,,-0.108222522
1896-10-08,25.65,25.65,25.65,25.65,0,,-0.130693432
1896-10-09,25.32,25.32,25.32,25.32,0,,-0.164562061
1896-10-12,25.16,25.16,25.16,25.16,0,,-0.192575038
1896-10-13,26.2,26.2,26.2,26.2,0,,-0.138429204
1896-10-14,26.18,26.18,26.18,26.18,0,,-0.10295745
1896-10-15,26.22,26.22,26.22,26.22,0,,-0.076986013
1896-10-16,26.26,26.26,26.26,26.26,0,,-0.058155191
1896-10-19,26.44,26.44,26.44,26.44,0,,-0.03572009
1896-10-20,27.1,27.1,27.1,27.1,0,,0.01851191
1896-10-21,27.03,27.03,27.03,27.03,0,,0.043201572
1896-10-22,27.42,27.42,27.42,27.42,0,,0.077338056
1896-10-23,27.88,27.88,27.88,27.88,0,,0.119897103
1896-10-26,28.04,28.04,28.04,28.04,0,,0.146085663
1896-10-27,28.16,28.16,28.16,28.16,0,,0.157755007
1896-10-28,27.8,27.8,27.8,27.8,0,,0.128720227
1896-10-29,27.34,27.34,27.34,27.34,0,,0.069019796
1896-10-30,28.54,28.54,28.54,28.54,0,,0.099008336
1896-11-02,29.64,29.64,29.64,29.64,0,,0.177032711
1896-11-04,30.99,30.99,30.99,30.99,0,,0.296625771
1896-11-05,30.32,30.32,30.32,30.32,0,,0.306416262
1896-11-06,31.38,31.38,31.38,31.38,0,,0.35657757
1896-11-09,32.19,32.19,32.19,32.19,0,,0.412645856
1896-11-10,32.27,32.27,32.27,32.27,0,,0.421949932
1896-11-11,32.11,32.11,32.11,32.11,0,,0.385177424
1896-11-12,32.52,32.52,32.52,32.52,0,,0.356950851
1896-11-13,32.23,32.23,32.23,32.23,0,,0.290074462
1896-11-16,31.57,31.57,31.57,31.57,0,,0.178205212
1896-11-17,31.57,31.57,31.57,31.57,0,,0.085713174
1896-11-18,31.6,31.6,31.6,31.6,0,,0.011934153
1896-11-19,31.46,31.46,31.46,31.46,0,,-0.057124496
1896-11-20,31.32,31.32,31.32,31.32,0,,-0.11947414
1896-11-23,31.11,31.11,31.11,31.11,0,,-0.17854517
