Date,Open,Close,Low,High,Volume,,MACD,,
1896-05-31,29.39,29.43,29.11,29.43,0,,,,
1896-06-30,29.4,26.18,25.73,29.4,0,,,,
1896-07-31,25.05,23.19,22.09,25.49,0,,,,
1896-08-31,22.81,23.15,20.76,23.15,0,,,,
1896-09-30,23.19,26.11,23.19,26.51,0,,,,
1896-10-31,26.08,28.54,25.16,28.54,0,,,,
1896-11-30,29.64,29.69,29.64,32.52,0,,,,
1896-12-31,30.4,29.3,27.95,30.58,0,,,,
1897-01-31,29.24,30.46,29.24,31.32,0,,,,
1897-02-28,30.69,29.9,28.78,30.69,0,,,,
1897-03-31,30.19,28.59,28.34,30.51,0,,,,
1897-04-30,28.8,28.22,27.88,29.28,0,,,,
1897-05-31,28.09,28.71,28.01,28.93,0,,,,
1897-06-30,28.98,31.94,28.98,32.31,0,,,,
1897-07-31,32.02,34.73,31.58,34.73,0,,,,
1897-08-31,35.37,39.7,35.37,39.7,0,,,,
1897-09-30,40.15,36.92,36.92,40.43,0,,,,
1897-10-31,37.33,35.35,35.07,38.14,0,,,,
1897-11-30,35.57,34.37,33.06,35.57,0,,,,
1897-12-31,35.06,35.79,34.87,36.07,0,,,,
1898-01-31,35.71,36.22,34.76,36.7,0,,,,
1898-02-28,36.04,33.44,32.35,36.33,0,,,,
1898-03-31,34.38,32.9,30.42,34.38,0,,,,
1898-04-30,31.97,33.13,31.34,33.55,0,,,,
1898-05-31,35.2,38.2,34.98,38.2,0,,,,
1898-06-30,38.29,38.11,36.84,38.9,0,,,,
1898-07-31,38.39,39.12,37.86,39.23,0,,,,
1898-08-31,39.54,43.71,39.54,44.16,0,,,,
1898-09-30,43.82,38.7,38.7,43.82,0,,,,
1898-10-31,38.83,40.15,37.34,40.15,0,,,,
1898-11-30,39.79,41.43,39.48,41.43,0,,,,
1898-12-31,42.12,43.83,42.11,43.83,0,,,,
1899-01-31,43.75,46.61,43.75,47.09,0,,,,
1899-02-28,46.67,48.37,44.87,48.78,0,,0.773201926,,
1899-03-31,48.26,53.83,47.73,54.1,0,,1.144720612,,
1899-04-30,55.06,55.84,52.58,55.97,0,,1.409485258,,
1899-05-31,54.02,48.89,48.89,55.07,0,,1.018440371,,
1899-06-30,49.54,50.97,49.54,52.93,0,,0.810798266,,
1899-07-31,51.77,53.4,51.1,53.4,0,,0.749482622,,
1899-08-31,53.51,54.8,53.36,55.21,0,,0.715655421,,
1899-09-30,54.73,52.78,52.43,56.21,0,,0.480943187,,
1899-10-31,51.39,54.3,51.39,54.3,0,,0.357442473,,
1899-11-30,54.44,54.72,53.36,54.9,0,,0.239106982,,
1899-12-31,54.66,47.6,42.2,54.66,0,,-0.351517863,,
1900-01-31,49.34,47.89,45.82,49.34,0,,-0.733512927,,
1900-02-28,48.77,46.32,45.88,49.51,0,,-1.081747102,,
1900-03-31,46.05,47.36,44.26,47.36,0,,-1.221535973,,
1900-04-30,47.47,44.42,44.32,47.91,0,,-1.474557577,,
1900-05-31,44.41,42.8,41.01,44.41,0,,-1.697687322,,
1900-06-30,43.01,39.71,38.88,43.01,0,,-1.980327192,,
1900-07-31,40.18,41.14,40.18,42.75,0,,-1.992481,,
1900-08-31,41.33,41.87,41.33,42.66,0,,-1.874593358,,
1900-09-30,42.4,39.21,38.36,42.43,0,,-1.893447424,,
1900-10-31,39.8,42.76,39.49,44.03,0,,-1.59639694,,
1900-11-30,42.86,48.23,42.86,50.02,0,,-0.990747054,,
1900-12-31,48.11,51.21,46.48,51.45,0,,-0.38007008,,
