Date,Open,Close,Low,High,Volume,,MACD,,,,,,
1896-05-31,29.39,29.43,29.11,29.43,0,,,,,,,,
1896-06-07,29.4,29.2,28.8,29.4,0,,,,,,,,
1896-06-14,28.83,28.47,27.82,28.83,0,,,,,,,,
1896-06-21,28.92,28.99,28.8,29.36,0,,,,,,,,
1896-06-28,28.05,27.44,27.44,28.05,0,,,,,,,,
1896-07-05,25.73,25.16,25.05,26.18,0,,,,,,,,
1896-07-12,25.25,25.23,25.12,25.49,0,,,,,,,,
1896-07-19,25.12,23.13,23.13,25.12,0,,,,,,,,
1896-07-26,22.09,22.84,22.09,23.39,0,,,,,,,,
1896-08-02,22.78,23.19,22.32,23.19,0,,,,,,,,
1896-08-09,22.81,20.76,20.76,22.81,0,,,,,,,,
1896-08-16,20.97,22.26,20.97,22.26,0,,,,,,,,
1896-08-23,22.5,22.13,22.13,22.68,0,,,,,,,,
1896-08-30,22.21,22.36,21.94,22.36,0,,,,,,,,
1896-09-06,23.15,25.13,23.15,25.13,0,,,,,,,,
1896-09-13,25.71,25.57,25.04,25.71,0,,,,,,,,
1896-09-20,25.25,25.21,24.13,25.25,0,,,,,,,,
1896-09-27,25.73,26.51,25.73,26.51,0,,,,,,,,
1896-10-04,26.33,25.99,25.99,26.33,0,,,,,,,,
1896-10-11,26.02,25.32,25.32,26.02,0,,,,,,,,
1896-10-18,25.16,26.26,25.16,26.26,0,,,,,,,,
1896-10-25,26.44,27.88,26.44,27.88,0,,,,,,,,
1896-11-01,28.04,28.54,27.34,28.54,0,,,,,,,,
1896-11-08,29.64,31.38,29.64,31.38,0,,,,,,,,
1896-11-15,32.19,32.23,32.11,32.52,0,,,,,,,,
1896-11-22,31.57,31.32,31.32,31.6,0,,,,,,,,
1896-11-29,31.11,30.35,30.35,31.11,0,,,,,,,,
1896-12-06,29.69,30.47,29.69,30.58,0,,,,,,,,
1896-12-13,30.11,30,30,30.26,0,,,,,,,,
1896-12-20,29.27,27.95,27.95,29.55,0,,,,,,,,
1896-12-27,28.83,28.98,28.63,28.98,0,,,,,,,,
1897-01-03,29.07,29.3,29.07,29.42,0,,,,,,,,
1897-01-10,29.24,29.67,29.24,29.67,0,,,,,,,,
1897-01-17,29.51,30.61,29.51,30.61,0,,-0.310456402,,,,,,
1897-01-24,30.97,30.72,30.72,31.32,0,,-0.249733102,,,,,,
1897-01-31,30.35,30.46,30.33,30.58,0,,-0.231313095,,,,,,
1897-02-07,30.69,29.86,29.86,30.69,0,,-0.261544376,,,,,,
1897-02-14,29.77,29.17,29.17,29.77,0,,-0.325832046,,,,,,
1897-02-21,28.78,29.17,28.78,29.2,0,,-0.36331871,,,,,,
1897-02-28,29.47,29.9,29.12,29.9,0,,-0.334626938,,,,,,
1897-03-07,30.19,30.02,29.94,30.51,0,,-0.304125967,,,,,,
1897-03-14,30.35,30.45,30.14,30.45,0,,-0.253613295,,,,,,
1897-03-21,30.48,29.78,29.78,30.48,0,,-0.26282703,,,,,,
1897-03-28,29.98,29.02,29.02,29.98,0,,-0.314137674,,,,,,
1897-04-04,28.34,28.83,28.34,28.87,0,,-0.352052004,,,,,,
1897-04-11,28.78,29.12,28.66,29.24,0,,-0.348147376,,,,,,
1897-04-18,28.93,28.54,28.54,29.28,0,,-0.372963992,,,,,,
1897-04-25,27.88,27.88,27.88,28.18,0,,-0.418736952,,,,,,
1897-05-02,28.41,28.22,28.22,28.41,0,,-0.410473397,,,,,,
1897-05-09,28.09,28.67,28.09,28.67,0,,-0.360818497,,,,,,
1897-05-16,28.93,28.2,28.2,28.93,0,,-0.345713167,,,,,,
1897-05-23,28.01,28.12,28.01,28.39,0,,-0.327377846,,,,,,
1897-05-30,28.48,28.71,28.39,28.71,0,,-0.264475202,,,,,,
1897-06-06,28.98,29.35,28.98,29.35,0,,-0.173142408,,,,,,
1897-06-13,29.93,30.81,29.93,30.81,0,,-0.016052852,,,,,,
1897-06-20,31.11,31.19,30.7,31.19,0,,0.105130385,,,,,,
1897-06-27,30.87,31.35,30.87,31.43,0,,0.183176112,,,,,,
1897-07-04,32.31,32,31.94,32.31,0,,0.260945958,,,,,,
